roi_label,roi_name,x,y,z
327,7Networks_LH_Cont_Par_10,-41.7176,-53.6941,48.7059
328,7Networks_LH_Cont_Par_11,-43.6632,-46.8842,48.3368
329,7Networks_LH_Cont_Par_12,-28.4898,-67.0612,48.9388
330,7Networks_LH_Cont_Par_13,-33.1739,-58.8696,43.4348
331,7Networks_LH_Cont_Par_14,-36.5120,-46.4960,39.5200
332,7Networks_LH_Cont_Par_15,-32.2105,-52.8842,41.3263
333,7Networks_LH_Cont_Temp_1,-59.3571,-38.9107,-20.4643
334,7Networks_LH_Cont_Temp_2,-55.3596,-56.9261,-17.0640
335,7Networks_LH_Cont_Temp_3,-59.9588,-47.2371,-11.8454
336,7Networks_LH_Cont_Temp_4,-62.2609,-49.2174,-2.6087
337,7Networks_LH_Cont_PFCd_1,-23.6739,13.4130,52.0870
338,7Networks_LH_Cont_PFCl_1,-40.6790,51.1808,-3.1292
339,7Networks_LH_Cont_PFCl_2,-47.0455,41.6515,3.6515
340,7Networks_LH_Cont_PFCl_3,-38.5057,49.7962,6.8604
341,7Networks_LH_Cont_PFCl_4,-50.9143,32.3200,12.2286
342,7Networks_LH_Cont_PFCl_5,-29.0187,56.1124,9.8652
343,7Networks_LH_Cont_PFCl_6,-42.8425,37.6220,13.5276
344,7Networks_LH_Cont_PFCl_7,-49.3254,11.0888,12.6391
345,7Networks_LH_Cont_PFCl_8,-44.8024,25.4371,19.7365
346,7Networks_LH_Cont_PFCl_9,-38.0867,45.6037,18.5882
347,7Networks_LH_Cont_PFCl_10,-47.5359,15.0387,24.9171
348,7Networks_LH_Cont_PFCl_11,-48.4220,6.8257,21.9266
349,7Networks_LH_Cont_PFCl_12,-28.7699,50.1757,22.1004
350,7Networks_LH_Cont_PFCl_13,-41.4713,33.7471,22.9195
351,7Networks_LH_Cont_PFCl_14,-43.4460,22.9424,27.3669
352,7Networks_LH_Cont_PFCl_15,-42.6243,37.0794,29.5767
353,7Networks_LH_Cont_PFCl_16,-37.1311,8.3770,27.0328
354,7Networks_LH_Cont_PFCl_17,-45.1628,21.3488,35.3209
355,7Networks_LH_Cont_PFCl_18,-39.0462,9.8769,32.8308
356,7Networks_LH_Cont_PFCl_19,-34.5844,32.2727,38.5130
357,7Networks_LH_Cont_PFCl_20,-40.0678,3.5763,36.8644
358,7Networks_LH_Cont_OFC_1,-27.1594,47.1787,-13.5266
359,7Networks_LH_Cont_PFCv_1,-34.9286,15.8000,-7.3143
360,7Networks_LH_Cont_PFCv_2,-31.4103,23.7179,-3.1538
361,7Networks_LH_Cont_pCun_1,-10.3361,-69.5798,30.8403
362,7Networks_LH_Cont_pCun_2,-9.8862,-72.8130,38.3252
363,7Networks_LH_Cont_pCun_3,-3.7143,-76.5397,44.4444
364,7Networks_LH_Cont_pCun_4,-4.2931,-65.8276,51.7414
365,7Networks_LH_Cont_Cing_1,-3.1481,18.7037,23.0741
366,7Networks_LH_Cont_Cing_2,-6.5000,-37.5500,24.8500
367,7Networks_LH_Cont_Cing_3,-5.7073,-26.1951,27.4634
368,7Networks_LH_Cont_Cing_4,-3.0500,9.2500,27.3500
369,7Networks_LH_Cont_Cing_5,-4.0000,-12.8936,29.5319
370,7Networks_LH_Cont_Cing_6,-4.4211,-1.3684,30.5789
371,7Networks_LH_Cont_Cing_7,-3.4074,-32.2222,28.8148
372,7Networks_LH_Cont_Cing_8,-2.2609,-22.7826,30.9565
373,7Networks_LH_Cont_PFCmp_1,-3.8009,24.4163,47.5566
374,7Networks_LH_Cont_PFCmp_2,-5.3673,13.8163,53.3265
375,7Networks_LH_Default_Par_1,-47.5181,-57.9518,18.0964
376,7Networks_LH_Default_Par_2,-46.9434,-50.7547,19.6981
377,7Networks_LH_Default_Par_3,-59.8293,-52.6585,18.5610
378,7Networks_LH_Default_Par_4,-45.5975,-64.7421,23.3082
379,7Networks_LH_Default_Par_5,-44.4426,-56.6557,25.4918
380,7Networks_LH_Default_Par_6,-52.1101,-54.9174,25.5229
